"","parent","code"
"1","A000Y","A000A"
"2","A000Y","A000B"
"3","A000B","A000C"
"4","A000Y","A000D"
"5","A000Y","A000E"
"6","A000L","A000F"
"7","A000F","A000G"
"8","A000F","A000H"
"9","A0EZF","A000L"
"10","A04KH","A000M"
"11","A04KH","A000N"
"12","A0D9Y","A000P"
"13","A04KH","A000Q"
"14","A04KH","A000R"
"15","A000L","A000S"
"16","A000S","A000T"
"17","A000S","A000V"
"18","A000S","A000X"
"19","A000L","A000Y"
"20","A000Y","A000Z"
"21","A000Y","A001A"
"22","A000Y","A001B"
"23","A000L","A001C"
"24","A001C","A001D"
"25","A001D","A001E"
"26","A001D","A001F"
"27","A001D","A001G"
"28","A001D","A001H"
"29","A001C","A001J"
"30","A0D9R","A001K"
"31","A0D9Q","A001L"
"32","A000L","A001M"
"33","A001M","A001N"
"34","A001M","A001P"
"35","A001P","A001Q"
"36","A001M","A001R"
"37","A001M","A001S"
"38","A001P","A001T"
"39","A001M","A001V"
"40","A000L","A001X"
"41","A000L","A001Y"
"42","A000Y","A001Z"
"43","A000Y","A002A"
"44","A0ETP","A002C"
"45","A04KS","A002E"
"46","A04KS","A002G"
"47","A0BY1","A002H"
"48","A000P","A002K"
"49","A04KS","A002L"
"50","A0ETL","A002N"
"51","A0C0Z","A002P"
"52","A0C0Z","A002Q"
"53","A0ETM","A002R"
"54","A04KS","A002T"
"55","A0BY1","A002V"
"56","A04KS","A002Y"
"57","A0BY1","A002Z"
"58","A0ETM","A003A"
"59","A002C","A003B"
"60","A001D","A003D"
"61","A001D","A003E"
"62","A04KS","A003F"
"63","A0ETM","A003G"
"64","A04KS","A003J"
"65","A003J","A003K"
"66","A003J","A003L"
"67","A003J","A003M"
"68","A003J","A003N"
"69","A0BY1","A003P"
"70","A002C","A003Q"
"71","A0ETM","A003R"
"72","A04KS","A003T"
"73","A04KS","A003X"
"74","A003X","A003Y"
"75","A003X","A003Z"
"76","A003X","A004A"
"77","A003X","A004B"
"78","A003X","A004C"
"79","A003X","A004D"
"80","A0BY1","A004E"
"81","A0ETL","A004F"
"82","A0BY1","A004G"
"83","A04KS","A004H"
"84","A004H","A004J"
"85","A004H","A004K"
"86","A004H","A004L"
"87","A0ETM","A004M"
"88","A004M","A004N"
"89","A002C","A004P"
"90","A0ETN","A004Q"
"91","A04KS","A004S"
"92","A0BX1","A004V"
"93","A0BY0","A004X"
"94","A004X","A004Y"
"95","A004Y","A004Z"
"96","A004Y","A005A"
"97","A004Y","A005B"
"98","A004Y","A005C"
"99","A004X","A005D"
"100","A004X","A005E"
"101","A0BY0","A005F"
"102","A005F","A005G"
"103","A005F","A005H"
"104","A005F","A005J"
"105","A0BY0","A005K"
"106","A0BY0","A005L"
"107","A005L","A005M"
"108","A005M","A005N"
"109","A005M","A005P"
"110","A005L","A005Q"
"111","A0ERB","A005R"
"112","A005R","A005S"
"113","A005R","A005T"
"114","A0ERB","A005V"
"115","A004V","A005Y"
"116","A004V","A005Z"
"117","A0CHT","A006A"
"118","A006A","A006B"
"119","A006A","A006C"
"120","A0CHT","A006D"
"121","A006D","A006E"
"122","A006D","A006F"
"123","A005Z","A006G"
"124","A005Z","A006H"
"125","A006H","A006J"
"126","A006H","A006K"
"127","A006H","A006L"
"128","A004V","A006M"
"129","A006M","A006N"
"130","A006M","A006P"
"131","A04KZ","A006Q"
"132","A04KZ","A006R"
"133","A006R","A006S"
"134","A006R","A006T"
"135","A006R","A006V"
"136","A006R","A006X"
"137","A006R","A006Y"
"138","A004V","A006Z"
"139","A006Z","A007A"
"140","A006Z","A007B"
"141","A006Z","A007C"
"142","A007D","A007E"
"143","A007E","A007F"
"144","A007F","A007G"
"145","A007F","A007J"
"146","A007E","A007L"
"147","A007L","A007M"
"148","A007L","A007P"
"149","A007E","A007R"
"150","A040M","A007S"
"151","A0ERE","A007T"
"152","A007T","A007V"
"153","A007T","A007X"
"154","A0ERE","A007Y"
"155","A007Y","A007Z"
"156","A007Y","A008A"
"157","A04LF","A008B"
"158","A04LF","A008C"
"159","A04LF","A008D"
"160","A04LF","A008E"
"161","A008E","A008F"
"162","A0EZV","A008G"
"163","A008G","A008H"
"164","A008H","A008J"
"165","A008H","A008K"
"166","A008G","A008L"
"167","A008L","A008M"
"168","A008L","A008N"
"169","A008G","A008P"
"170","A008P","A008Q"
"171","A008P","A008R"
"172","A009J","A008S"
"173","A008G","A008T"
"174","A008T","A008V"
"175","A008G","A008X"
"176","A008X","A008Y"
"177","A008X","A008Z"
"178","A008X","A009A"
"179","A008G","A009B"
"180","A009B","A009C"
"181","A009B","A009D"
"182","A009B","A009E"
"183","A009B","A009F"
"184","A008G","A009G"
"185","A009G","A009H"
"186","A008G","A009J"
"187","A009J","A009K"
"188","A008G","A009L"
"189","A009L","A009M"
"190","A009L","A009N"
"191","A008G","A009P"
"192","A009P","A009Q"
"193","A009P","A009R"
"194","A009P","A009S"
"195","A009T","A009V"
"196","A009V","A009X"
"197","A009X","A009Y"
"198","A009X","A009Z"
"199","A009X","A00AA"
"200","A009X","A00AB"
"201","A009X","A00AC"
"202","A009X","A00AD"
"203","A009V","A00AE"
"204","A009T","A00AG"
"205","A00AG","A00AH"
"206","A00AG","A00AJ"
"207","A00AG","A00AK"
"208","A00AG","A00AL"
"209","A00AG","A00AM"
"210","A009T","A00AN"
"211","A00AN","A00AP"
"212","A00AP","A00AQ"
"213","A00AP","A00AR"
"214","A00AR","A00AS"
"215","A00AS","A00AT"
"216","A00AP","A00AV"
"217","A00AV","A00AX"
"218","A00AX","A00AY"
"219","A00AV","A00AZ"
"220","A00AP","A00BA"
"221","A00BA","A00BB"
"222","A00AP","A00BC"
"223","A00AP","A00BD"
"224","A0C6L","A00BE"
"225","A00AN","A00BF"
"226","A00BF","A00BG"
"227","A00BG","A00BH"
"228","A00BF","A00BJ"
"229","A009T","A00BK"
"230","A00BK","A00BL"
"231","A00BK","A00BM"
"232","A00BM","A00BN"
"233","A00BM","A00BP"
"234","A00BM","A00BQ"
"235","A00BK","A00BR"
"236","A00BK","A00BS"
"237","A00BK","A00BT"
"238","A009T","A00BV"
